0.0 1:6.84473148584	 2:-1.4338960605	 3:0.331560592926	 
0.0 1:6.87208365444	 2:-1.45282691749	 3:0.149931815486	 
0.0 1:6.89943582304	 2:-1.47175777447	 3:-0.0316969619522	 
0.0 1:6.92989830601	 2:-1.38975540186	 3:-0.187198199065	 
0.0 1:6.96100760229	 2:-1.28676320373	 3:-0.337266017326	 
0.0 1:6.99134118066	 2:-1.16795154527	 3:-0.475247421519	 
0.0 1:7.02163503456	 2:-1.04832977295	 3:-0.612609880987	 
0.0 1:7.05192888845	 2:-0.928708000639	 3:-0.749972340455	 
0.0 1:7.07537054971	 2:-0.767239985591	 3:-0.824995672929	 
0.0 1:7.09734089686	 2:-0.594325946562	 3:-0.885516746642	 
0.0 1:7.11929402358	 2:-0.42164706401	 3:-0.946035594718	 
0.0 1:7.13920158924	 2:-0.243724864426	 3:-0.99123416761	 
0.0 1:7.15773254813	 2:-0.063547280766	 3:-1.02670041294	 
0.0 1:7.17585311552	 2:0.117302673855	 3:-1.05926527465	 
0.0 1:12.1121285785	 2:-0.162110464932	 3:-1.26259130423	 
0.0 1:12.0935988767	 2:0.00981756817667	 3:-1.20022186706	 
0.0 1:12.075069175	 2:0.181745601285	 3:-1.13785242989	 
0.0 1:12.0565394732	 2:0.353673634394	 3:-1.07548299272	 
0.0 1:12.0380097715	 2:0.525601667502	 3:-1.01311355555	 
0.0 1:12.0177104663	 2:0.663753783171	 3:-0.894198224929	 
0.0 1:11.9973485434	 2:0.800710733411	 3:-0.773282010184	 
0.0 1:11.9769866206	 2:0.937667683645	 3:-0.652365795439	 
0.0 1:11.956716559	 2:1.08041708715	 3:-0.538455770861	 
0.0 1:11.93647849	 2:1.22518383636	 3:-0.42698580184	 
0.0 1:11.916240421	 2:1.36995058558	 3:-0.315515832819	 
0.0 1:11.8977758225	 2:1.44555409317	 3:-0.156893045198	 
0.0 1:11.8799625488	 2:1.49575670993	 3:0.0190470856926	 
0.0 1:11.862149275	 2:1.5459593267	 3:0.194987216582	 
0.0 1:11.8443360013	 2:1.59616194346	 3:0.370927347472	 
0.0 1:11.8343431339	 2:1.56404811098	 3:0.530376004328	 
0.0 1:11.8323119084	 2:1.44813120333	 3:0.673035352964	 
0.0 1:11.8330875928	 2:1.31412380632	 3:0.798230937119	 
0.0 1:11.8345649817	 2:1.17559393471	 3:0.919060722772	 
0.0 1:11.8360423707	 2:1.03706406309	 3:1.03989050842	 
0.0 1:11.8375197596	 2:0.898534191472	 3:1.16072029408	 
0.0 1:11.8393009849	 2:0.758357395941	 3:1.27934595675	 
0.0 1:11.8437701483	 2:0.603610821293	 3:1.37847248864	 
0.0 1:11.8482393116	 2:0.448864246645	 3:1.47759902052	 
0.0 1:11.8564184652	 2:0.282526706414	 3:1.54122643485	 
0.0 1:11.8698901278	 2:0.0996540051492	 3:1.55421237147	 
0.0 1:11.8833617903	 2:-0.0832186961175	 3:1.56719830807	 
0.0 1:11.8968334528	 2:-0.266091397384	 3:1.58018424467	 
0.0 1:11.9103051153	 2:-0.448964098649	 3:1.59317018129	 
0.0 1:11.9237767778	 2:-0.631836799916	 3:1.60615611789	 
0.0 1:11.9372484404	 2:-0.814709501181	 3:1.6191420545	 
0.0 1:11.9518930786	 2:-0.985081903539	 3:1.604612373	 
0.0 1:11.9721031778	 2:-1.09614368117	 3:1.45952833338	 
0.0 1:11.992313277	 2:-1.20720545881	 3:1.31444429377	 
0.0 1:12.0108477879	 2:-1.28298593804	 3:1.1551107699	 
0.0 1:12.0267034787	 2:-1.30236100642	 3:0.972996111231	 
0.0 1:12.0425591696	 2:-1.32173607479	 3:0.790881452564	 
0.0 1:12.0584148604	 2:-1.34111114317	 3:0.608766793895	 
0.0 1:12.0742705513	 2:-1.36048621155	 3:0.426652135226	 
0.0 1:12.087504869	 2:-1.34776794845	 3:0.245528856078	 
0.0 1:12.0990974092	 2:-1.31494949059	 3:0.0650264822849	 
0.0 1:12.1106899495	 2:-1.28213103274	 3:-0.115475891508	 
0.0 1:12.12003852	 2:-1.23053064563	 3:-0.286370465794	 
0.0 1:12.1202259061	 2:-1.10225153836	 3:-0.418040434407	 
0.0 1:12.1204132921	 2:-0.973972431095	 3:-0.549710403021	 
0.0 1:12.12001789	 2:-0.842091131224	 3:-0.677599359793	 
0.0 1:12.1186911273	 2:-0.704453123825	 3:-0.799445835855	 
0.0 1:12.1150318721	 2:-0.555787854044	 3:-0.90274314915	 
0.0 1:12.1072386595	 2:-0.388102915798	 3:-0.972636684883	 
0.0 1:12.109683619	 2:-0.275106690365	 3:-1.11761399456	 
0.0 1:19.0508110186	 2:-0.148459615966	 3:-1.14216521131	 
0.0 1:19.0467853887	 2:0.0298432202574	 3:-1.12232117071	 
0.0 1:19.0427597589	 2:0.208146056481	 3:-1.1024771301	 
0.0 1:19.0387341291	 2:0.386448892705	 3:-1.08263308948	 
0.0 1:19.0347084992	 2:0.564751728929	 3:-1.06278904887	 
0.0 1:19.027907669	 2:0.698729169657	 3:-0.95831955891	 
0.0 1:19.0201066711	 2:0.81673197098	 3:-0.823351502095	 
0.0 1:19.0123056732	 2:0.934734772302	 3:-0.68838344528	 
0.0 1:19.0045046753	 2:1.05273757363	 3:-0.553415388465	 
0.0 1:18.9967827912	 2:1.17452163487	 3:-0.421927778831	 
0.0 1:18.989126541	 2:1.2994426824	 3:-0.293327596996	 
0.0 1:18.9814702908	 2:1.42436372992	 3:-0.164727415161	 
0.0 1:18.9738253618	 2:1.50653428789	 3:-0.0182609257635	 
0.0 1:18.9662012052	 2:1.51026527082	 3:0.160987072975	 
0.0 1:18.9585770486	 2:1.51399625376	 3:0.340235071712	 
0.0 1:18.9509528921	 2:1.51772723669	 3:0.51948307045	 
