0.0 1:1.30289002392	 2:-0.333423067368	 3:1.80800214735	 
0.0 1:1.2939003236	 2:-0.528984697046	 3:1.71991664428	 
0.0 1:1.28868989751	 2:-0.72256221795	 3:1.59299661335	 
0.0 1:1.28463230257	 2:-0.906199901773	 3:1.46305730175	 
0.0 1:1.28287229461	 2:-1.06915651161	 3:1.32792422233	 
0.0 1:1.28551828133	 2:-1.19997903142	 3:1.17571539684	 
0.0 1:1.29422325281	 2:-1.28991233136	 3:0.996903523537	 
0.0 1:1.30792201622	 2:-1.34630373905	 3:0.796015316024	 
0.0 1:1.32454517439	 2:-1.38244946713	 3:0.58276959733	 
0.0 1:1.34202172534	 2:-1.41165523513	 3:0.366893487996	 
0.0 1:1.35862760367	 2:-1.44471357509	 3:0.15675334903	 
0.0 1:1.37534890378	 2:-1.47278478521	 3:-0.0499142858816	 
0.0 1:1.39444386721	 2:-1.47780045975	 3:-0.260349895163	 
0.0 1:1.41720032157	 2:-1.44270323932	 3:-0.472296612925	 
0.0 1:1.44238845658	 2:-1.35317830256	 3:-0.658970684549	 
0.0 1:1.46869404634	 2:-1.20607426899	 3:-0.803235191901	 
0.0 1:1.49583873381	 2:-1.03463901409	 3:-0.933530894943	 
0.0 1:1.52071379851	 2:-0.848997214107	 3:-1.02594427001	 
0.0 1:1.54249867552	 2:-0.639858190907	 3:-1.06285083145	 
0.0 1:2.25316260744	 2:-0.521655023829	 3:-1.25943091813	 
0.0 1:2.21619888044	 2:-0.360379841744	 3:-1.17421972624	 
0.0 1:2.18069876031	 2:-0.19422029613	 3:-1.10544913982	 
0.0 1:2.14626393679	 2:-0.0240850668527	 3:-1.04913256604	 
0.0 1:2.11249609961	 2:0.149117166219	 3:-1.00128341207	 
0.0 1:2.07899693851	 2:0.324477723215	 3:-0.957915085127	 
0.0 1:2.04536814323	 2:0.501087924268	 3:-0.915040992377	 
0.0 1:2.01122096058	 2:0.677261664974	 3:-0.867843574106	 
0.0 1:1.97622330768	 2:0.846702977706	 3:-0.806577919359	 
0.0 1:1.9400972587	 2:1.00208612562	 3:-0.720704007637	 
0.0 1:1.90294157544	 2:1.14357014743	 3:-0.611133488781	 
0.0 1:1.86509289116	 2:1.27604261956	 3:-0.486011897932	 
0.0 1:1.82690660932	 2:1.4042345109	 3:-0.353441419697	 
0.0 1:1.78959095655	 2:1.51977195443	 3:-0.212610547612	 
0.0 1:1.75565005366	 2:1.59441162634	 3:-0.0492138875069	 
0.0 1:1.72823255099	 2:1.60636032491	 3:0.13882952647	 
0.0 1:1.7118247396	 2:1.55405916918	 3:0.320290956721	 
0.0 1:1.71032216772	 2:1.44097135664	 3:0.462469190524	 
0.0 1:1.71875204402	 2:1.29195360743	 3:0.57316401807	 
0.0 1:1.72751235866	 2:1.14213128102	 3:0.682358391494	 
0.0 1:1.73791072813	 2:0.989513897935	 3:0.782731054373	 
0.0 1:1.750770145	 2:0.830389433499	 3:0.872525371738	 
0.0 1:1.75425914581	 2:0.698903698016	 3:0.999277206713	 
0.0 1:1.75224410876	 2:0.583798321141	 3:1.14756828277	 
0.0 1:1.75132921003	 2:0.465862346306	 3:1.29103995807	 
0.0 1:1.75798806232	 2:0.326272361938	 3:1.40384571459	 
0.0 1:1.7740149496	 2:0.160094368716	 3:1.47849328592	 
0.0 1:1.79534537388	 2:-0.0202153095938	 3:1.53047095812	 
0.0 1:1.81823384278	 2:-0.202838567724	 3:1.57365787542	 
0.0 1:1.84247585046	 2:-0.384881946049	 3:1.6062053087	 
0.0 1:1.86900094562	 2:-0.566310237849	 3:1.62122743928	 
0.0 1:1.8987391903	 2:-0.747089530193	 3:1.61183616846	 
0.0 1:1.93261276429	 2:-0.927139087091	 3:1.57114715415	 
0.0 1:1.96978611201	 2:-1.09593665667	 3:1.49311378917	 
0.0 1:2.00548590842	 2:-1.21964270487	 3:1.37365239323	 
0.0 1:2.03667300857	 2:-1.28089221201	 3:1.21500964434	 
0.0 1:2.06425948514	 2:-1.29650103779	 3:1.02996548089	 
0.0 1:2.08955177614	 2:-1.28669658656	 3:0.832351150914	 
0.0 1:2.11385372501	 2:-1.27166777837	 3:0.635972389897	 
0.0 1:2.13794632623	 2:-1.26384838081	 3:0.449493786071	 
0.0 1:2.16145711469	 2:-1.25856348265	 3:0.27023801813	 
0.0 1:2.18386826938	 2:-1.24891638067	 3:0.0940221969416	 
0.0 1:2.20514744129	 2:-1.23154209582	 3:-0.0828168109746	 
0.0 1:2.22599426389	 2:-1.20840069447	 3:-0.263158464533	 
0.0 1:2.24716900048	 2:-1.18189331454	 3:-0.449817311161	 
0.0 1:2.26843672288	 2:-1.15102335019	 3:-0.642218850676	 
0.0 1:2.2830612826	 2:-1.09259798428	 3:-0.817649180364	 
0.0 1:2.28208141899	 2:-0.975872995326	 3:-0.945764213603	 
0.0 1:2.26855051315	 2:-0.812543517069	 3:-1.0354891064	 
0.0 1:2.25810814116	 2:-0.658589924165	 3:-1.13708694098	 
0.0 1:2.5675792573	 2:-0.313469188702	 3:-1.13874194139	 
0.0 1:2.56593311862	 2:-0.177096801517	 3:-0.955612160007	 
0.0 1:2.57367096231	 2:-0.0120767450675	 3:-0.843487252424	 
0.0 1:2.58809105098	 2:0.173074588276	 3:-0.782248283832	 
0.0 1:2.60649164719	 2:0.369840806146	 3:-0.751776319423	 
0.0 1:2.62659178338	 2:0.570142221767	 3:-0.736159597747	 
0.0 1:2.64863091778	 2:0.768515034488	 3:-0.744687464986	 
0.0 1:2.67289209716	 2:0.963302500173	 3:-0.782544398644	 
0.0 1:2.69620101472	 2:1.16305828954	 3:-0.803689930242	 
0.0 1:2.71433152409	 2:1.36120096793	 3:-0.768517623314	 
0.0 1:2.72322591277	 2:1.53373119566	 3:-0.660340451659	 
0.0 1:2.7220185865	 2:1.65839737481	 3:-0.496277948134	 
0.0 1:2.71151579014	 2:1.71586445727	 3:-0.308739950484	 
0.0 1:2.69383471538	 2:1.71299138584	 3:-0.113268991573	 
0.0 1:2.6721243354	 2:1.67742774526	 3:0.0880786240958	 
0.0 1:2.64956204538	 2:1.63739583015	 3:0.293618090666	 
0.0 1:2.62844462512	 2:1.6118962127	 3:0.500441784862	 
0.0 1:2.60753648491	 2:1.58293882034	 3:0.700737055584	 
0.0 1:2.58471645872	 2:1.52325990753	 3:0.885461545567	 
0.0 1:2.55810180966	 2:1.40778802836	 3:1.0455364225	 
