0.000000 1:2.239489 2:-0.324400 3:-0.975700 
0.000000 1:2.231434 2:-0.176630 3:-0.908655 
0.000000 1:2.223669 2:-0.036194 3:-0.848164 
0.000000 1:2.216496 2:0.088529 3:-0.802599 
0.000000 1:2.208930 2:0.215740 3:-0.763438 
0.000000 1:2.199878 2:0.366351 3:-0.719848 
0.000000 1:2.189804 2:0.534116 3:-0.671043 
0.000000 1:2.180220 2:0.694513 3:-0.622990 
0.000000 1:2.172140 2:0.832477 3:-0.576848 
0.000000 1:2.165423 2:0.954808 3:-0.522754 
0.000000 1:2.159801 2:1.071263 3:-0.448608 
0.000000 1:2.155223 2:1.191595 3:-0.335785 
0.000000 1:2.151759 2:1.325390 3:-0.162548 
0.000000 1:2.149720 2:1.469549 3:0.073866 
0.000000 1:2.149825 2:1.599470 3:0.344010 
0.000000 1:2.152808 2:1.689976 3:0.617697 
0.000000 1:2.159247 2:1.725406 3:0.879744 
0.000000 1:2.169638 2:1.694069 3:1.120681 
0.000000 1:2.183576 2:1.594783 3:1.326203 
0.000000 1:2.199490 2:1.440008 3:1.475710 
0.000000 1:2.215961 2:1.242541 3:1.553825 
0.000000 1:2.232650 2:1.012511 3:1.571428 
0.000000 1:2.249509 2:0.759558 3:1.546878 
0.000000 1:2.265913 2:0.499916 3:1.495248 
0.000000 1:2.280669 2:0.256410 3:1.428327 
0.000000 1:2.292976 2:0.044238 3:1.353844 
0.000000 1:2.303481 2:-0.148670 3:1.266034 
0.000000 1:2.313034 2:-0.338681 3:1.156182 
0.000000 1:2.320822 2:-0.518756 3:1.014890 
0.000000 1:2.324759 2:-0.663876 3:0.832264 
0.000000 1:2.324340 2:-0.765743 3:0.610564 
0.000000 1:2.323218 2:-0.860241 3:0.383340 
0.000000 1:2.325231 2:-0.985079 3:0.185884 
0.000000 1:2.329351 2:-1.124534 3:0.020305 
0.000000 1:2.331694 2:-1.231544 3:-0.130796 
0.000000 1:2.330179 2:-1.281009 3:-0.276996 
0.000000 1:2.326297 2:-1.291266 3:-0.412179 
0.000000 1:2.321803 2:-1.284244 3:-0.529798 
0.000000 1:2.317390 2:-1.271561 3:-0.633409 
0.000000 1:2.313270 2:-1.260137 3:-0.731005 
0.000000 1:2.309556 2:-1.253072 3:-0.825603 
0.000000 1:2.306223 2:-1.247837 3:-0.912803 
0.000000 1:2.302957 2:-1.237644 3:-0.987815 
0.000000 1:2.297971 2:-1.195136 3:-1.046960 
0.000000 1:2.289070 2:-1.087349 3:-1.086979 
0.000000 1:2.276715 2:-0.919921 3:-1.105892 
0.000000 1:2.264396 2:-0.742484 3:-1.103179 
0.000000 1:3.354189 2:0.013789 3:-1.006422 
0.000000 1:3.389783 2:0.197258 3:-1.106197 
0.000000 1:3.419722 2:0.355673 3:-1.184527 
0.000000 1:3.442753 2:0.484787 3:-1.234892 
0.000000 1:3.458790 2:0.587016 3:-1.253133 
0.000000 1:3.469840 2:0.676767 3:-1.239331 
0.000000 1:3.478071 2:0.769092 3:-1.194278 
0.000000 1:3.484621 2:0.868151 3:-1.123500 
0.000000 1:3.489739 2:0.968676 3:-1.036615 
0.000000 1:3.493482 2:1.066365 3:-0.940080 
0.000000 1:3.494859 2:1.165406 3:-0.818417 
0.000000 1:3.492450 2:1.273442 3:-0.647212 
0.000000 1:3.485000 2:1.391023 3:-0.413378 
0.000000 1:3.471740 2:1.498271 3:-0.136471 
0.000000 1:3.451968 2:1.571722 3:0.158370 
0.000000 1:3.424292 2:1.590700 3:0.456618 
0.000000 1:3.386394 2:1.538253 3:0.757944 
0.000000 1:3.336439 2:1.400016 3:1.060786 
0.000000 1:3.278972 2:1.188680 3:1.337748 
0.000000 1:3.222654 2:0.934389 3:1.544769 
0.000000 1:3.174518 2:0.664299 3:1.649700 
0.000000 1:3.133591 2:0.390056 3:1.678016 
0.000000 1:3.096551 2:0.118743 3:1.672098 
0.000000 1:3.062092 2:-0.140255 3:1.657585 
0.000000 1:3.033148 2:-0.372730 3:1.625012 
0.000000 1:3.013064 2:-0.564735 3:1.560511 
0.000000 1:3.002358 2:-0.722369 3:1.450652 
0.000000 1:2.998723 2:-0.871774 3:1.282447 
0.000000 1:2.999935 2:-1.034919 3:1.047787 
0.000000 1:3.005409 2:-1.193670 3:0.777187 
