0.0 1:1.92444922381	 2:0.592170134824	 3:1.47076911945	 
0.0 1:1.94529769704	 2:0.461984606486	 3:1.55038946985	 
0.0 1:1.97070153526	 2:0.299401343504	 3:1.58965603055	 
0.0 1:1.9997173877	 2:0.111348971915	 3:1.60013305088	 
0.0 1:2.0314019036	 2:-0.0952438822442	 3:1.59338478022	 
0.0 1:2.06481173162	 2:-0.313448592094	 3:1.5809754241	 
0.0 1:2.09896054793	 2:-0.536275073427	 3:1.57128222779	 
0.0 1:2.13270233039	 2:-0.756504848573	 3:1.56083875641	 
0.0 1:2.16485396684	 2:-0.966866395364	 3:1.54342787448	 
0.0 1:2.19423234512	 2:-1.16008819164	 3:1.51283244657	 
0.0 1:2.21965435309	 2:-1.32889871522	 3:1.46283533718	 
0.0 1:2.23993687858	 2:-1.46602644395	 3:1.38721941088	 
0.0 1:2.25389680944	 2:-1.56419985566	 3:1.27976753218	 
0.0 1:2.26046835235	 2:-1.61686279071	 3:1.13496221094	 
0.0 1:2.26049261972	 2:-1.62908662505	 3:0.958658024088	 
0.0 1:2.25636020639	 2:-1.61539084809	 3:0.765950077602	 
0.0 1:2.25048387371	 2:-1.59043024964	 3:0.572063654271	 
0.0 1:2.24419158854	 2:-1.56225157706	 3:0.385658396384	 
0.0 1:2.23727245813	 2:-1.52952759019	 3:0.206080108952	 
0.0 1:2.22939858107	 2:-1.49021828902	 3:0.0319664106723	 
0.0 1:2.22024205596	 2:-1.44228367351	 3:-0.138045079751	 
0.0 1:2.20947498141	 2:-1.38368374362	 3:-0.305316743617	 
0.0 1:2.19676945603	 2:-1.31237849933	 3:-0.471210962226	 
0.0 1:2.18179417803	 2:-1.22626174037	 3:-0.636446058232	 
0.0 1:2.16415191279	 2:-1.12194365418	 3:-0.789252159125	 
0.0 1:2.14338584052	 2:-0.994872505121	 3:-0.906545872123	 
0.0 1:2.119320477	 2:-0.842871900771	 3:-0.973207902214	 
0.0 1:2.09264127354	 2:-0.671106788704	 3:-0.99954803302	 
0.0 1:2.06419650453	 2:-0.486130535746	 3:-1.00068528216	 
0.0 1:2.03483444439	 2:-0.294496508714	 3:-0.991738667261	 
0.0 1:2.00540336749	 2:-0.10275807443	 3:-0.98782720594	 
0.0 1:1.976663641	 2:0.0833919936033	 3:-0.999851631025	 
0.0 1:1.94887136367	 2:0.263197602568	 3:-1.01451503796	 
0.0 1:1.92210315442	 2:0.437659729219	 3:-1.00990806876	 
0.0 1:1.89639948521	 2:0.607864091249	 3:-0.966319280281	 
0.0 1:1.87130864762	 2:0.776028023699	 3:-0.894288963298	 
0.0 1:1.84602201827	 2:0.945189477788	 3:-0.826295091402	 
0.0 1:2.49974967278	 2:1.33714624078	 3:-0.456261243368	 
0.0 1:2.49075568322	 2:1.16308627871	 3:-0.337307331394	 
0.0 1:2.47577985528	 2:1.03529769601	 3:-0.194728616443	 
0.0 1:2.45591817659	 2:0.945650638286	 3:-0.0329727735605	 
0.0 1:2.43226663478	 2:0.88601525111	 3:0.14351252221	 
0.0 1:2.40592121749	 2:0.848261680073	 3:0.330279595824	 
0.0 1:2.37797791235	 2:0.824260070763	 3:0.522880772238	 
0.0 1:2.34953270699	 2:0.805880568767	 3:0.71686837641	 
0.0 1:2.32168158904	 2:0.784993319672	 3:0.907794733293	 
0.0 1:2.29552054614	 2:0.753468469063	 3:1.09121216784	 
