0.0 1:1.57927395723	 2:-0.982234586656	 3:-0.876517450576	 
0.0 1:1.56570575427	 2:-0.796983207067	 3:-0.911343968851	 
0.0 1:1.55101590993	 2:-0.599620089009	 3:-0.914505020185	 
0.0 1:1.53655916267	 2:-0.406384835763	 3:-0.906870719481	 
0.0 1:1.52263317057	 2:-0.220356609389	 3:-0.898300793916	 
0.0 1:1.50875574249	 2:-0.0349161134249	 3:-0.890418810677	 
0.0 1:1.49471130002	 2:0.152604933055	 3:-0.880810762626	 
0.0 1:1.48067380193	 2:0.339870112662	 3:-0.869447614635	 
0.0 1:1.46676292539	 2:0.526515377869	 3:-0.869721079215	 
0.0 1:1.94911178254	 2:0.812047898508	 3:-0.880529224937	 
0.0 1:1.98356843189	 2:0.902560736323	 3:-0.722910385804	 
0.0 1:2.01700124359	 2:0.980904480609	 3:-0.563482220106	 
0.0 1:2.04953742467	 2:1.04745904158	 3:-0.40169416919	 
0.0 1:2.08130418217	 2:1.10260432945	 3:-0.236995674411	 
0.0 1:2.11242872313	 2:1.14672025444	 3:-0.0688361771165	 
0.0 1:2.1430382546	 2:1.18018672673	 3:0.103334881342	 
0.0 1:2.17325998361	 2:1.20338365657	 3:0.280068059612	 
0.0 1:2.20322111721	 2:1.21669095415	 3:0.461913916345	 
0.0 1:2.23286409348	 2:1.21975835241	 3:0.64874547994	 
0.0 1:2.25945913872	 2:1.20167543142	 3:0.830637031146	 
0.0 1:2.27826874805	 2:1.14359897424	 3:0.99029970784	 
0.0 1:2.28633432335	 2:1.03457648853	 3:1.11637817161	 
0.0 1:2.285615372	 2:0.885406855302	 3:1.21396516723	 
0.0 1:2.27889005457	 2:0.710509624351	 3:1.29089133829	 
0.0 1:2.26893653163	 2:0.524304345461	 3:1.35498732846	 
0.0 1:2.25848828344	 2:0.340989159098	 3:1.4139506546	 
0.0 1:2.24862538474	 2:0.166568902305	 3:1.470552447	 
0.0 1:2.23832719597	 2:-0.00336149002611	 3:1.52130467532	 
0.0 1:2.22643732463	 2:-0.173879794733	 3:1.56231482795	 
0.0 1:2.21179937818	 2:-0.350063788655	 3:1.58969039322	 
0.0 1:2.19329684844	 2:-0.536647080351	 3:1.59955733842	 
0.0 1:2.17074047855	 2:-0.730361876079	 3:1.58847123788	 
0.0 1:2.14487380333	 2:-0.919891171643	 3:1.55341983989	 
0.0 1:2.11648134997	 2:-1.09356423282	 3:1.49140988507	 
0.0 1:2.08634764569	 2:-1.23971032541	 3:1.399448114	 
0.0 1:2.05525225024	 2:-1.34689162404	 3:1.2746691308	 
0.0 1:2.02377100889	 2:-1.41322189037	 3:1.11945122029	 
0.0 1:1.99220883034	 2:-1.44951832351	 3:0.943146667497	 
0.0 1:1.96085186777	 2:-1.46747751457	 3:0.755590530667	 
0.0 1:1.92998631218	 2:-1.47878387436	 3:0.566609766672	 
0.0 1:1.89991229253	 2:-1.49063429232	 3:0.383046572999	 
0.0 1:1.87096461775	 2:-1.49905995358	 3:0.204316566191	 
0.0 1:1.84348339988	 2:-1.49838462484	 3:0.0286997173566	 
0.0 1:1.81780875097	 2:-1.48293207279	 3:-0.145524002393	 
0.0 1:1.79428519941	 2:-1.44704404712	 3:-0.320034157022	 
0.0 1:1.77366395212	 2:-1.38671825925	 3:-0.492784102438	 
0.0 1:1.75742527181	 2:-1.30092107652	 3:-0.655047191381	 
0.0 1:1.74712528353	 2:-1.18892777141	 3:-0.797401685132	 
0.0 1:1.74420893154	 2:-1.05033532833	 3:-0.910914119927	 
0.0 1:1.7484015438	 2:-0.889716600505	 3:-0.994203105692	 
0.0 1:1.75807543372	 2:-0.715559514031	 3:-1.05182931385	 
0.0 1:1.77156638286	 2:-0.536457674475	 3:-1.08851387326	 
0.0 1:1.78743351459	 2:-0.358999262976	 3:-1.1089279771	 
0.0 1:1.80505624842	 2:-0.182406881403	 3:-1.11755941315	 
0.0 1:1.82400228187	 2:-0.00421255117812	 3:-1.11885387322	 
0.0 1:1.84383931247	 2:0.178051706271	 3:-1.11725704908	 
0.0 1:1.86440618103	 2:0.364897785112	 3:-1.11414671171	 
0.0 1:1.88728835192	 2:0.544237071649	 3:-1.09113800828	 
0.0 1:1.91476368651	 2:0.698985855094	 3:-1.02201178071	 
0.0 1:2.42717040576	 2:0.604461316429	 3:-0.946905409315	 
0.0 1:2.44067636735	 2:0.690860899516	 3:-0.847044660786	 
0.0 1:2.45733370879	 2:0.801276037987	 3:-0.725354373904	 
0.0 1:2.47648555838	 2:0.927858211778	 3:-0.585299989231	 
0.0 1:2.49747504443	 2:1.06275890084	 3:-0.430346947322	 
0.0 1:2.51964529523	 2:1.19812958509	 3:-0.263960688738	 
0.0 1:2.54233943908	 2:1.32612174449	 3:-0.0896066540343	 
0.0 1:2.56490060429	 2:1.43888685897	 3:0.089249716228	 
0.0 1:2.58667191915	 2:1.52857640847	 3:0.269142981492	 
0.0 1:2.60699651197	 2:1.58734187294	 3:0.446607701199	 
0.0 1:2.62521751104	 2:1.60733473231	 3:0.618178434791	 
0.0 1:2.64067804467	 2:1.58070646653	 3:0.780389741709	 
0.0 1:2.6527355925	 2:1.50019438844	 3:0.929693788553	 
0.0 1:2.66107233556	 2:1.3717903767	 3:1.06067859041	 
0.0 1:2.66569219557	 2:1.21462001638	 3:1.16608500874	 
0.0 1:2.66669891683	 2:1.04664564463	 3:1.24007949552	 
0.0 1:2.66479972422	 2:0.873734464844	 3:1.28737871004	 
0.0 1:2.66096008108	 2:0.696577990145	 3:1.31721390454	 
0.0 1:2.65614642833	 2:0.515848140425	 3:1.33883342181	 
0.0 1:2.6513252069	 2:0.332216835582	 3:1.36148560467	 
0.0 1:2.64745747612	 2:0.146359558476	 3:1.39436450981	 
0.0 1:2.64483367442	 2:-0.040604211856	 3:1.43989937553	 
0.0 1:2.64243120002	 2:-0.226685675428	 3:1.48727428488	 
0.0 1:2.63907510202	 2:-0.409795166884	 3:1.52413651494	 
0.0 1:2.6335904295	 2:-0.587843020863	 3:1.5381333428	 
0.0 1:2.62480223157	 2:-0.758739572005	 3:1.51691204555	 
0.0 1:2.61169809693	 2:-0.920164857792	 3:1.44963056638	 
0.0 1:2.59484520598	 2:-1.06756084311	 3:1.34012779552	 
0.0 1:2.57569968171	 2:-1.19510997871	 3:1.20050458044	 
0.0 1:2.555727578	 2:-1.29698064456	 3:1.04295406792	 
0.0 1:2.53617267069	 2:-1.36889006707	 3:0.878074340693	 
0.0 1:2.51713330467	 2:-1.41453690199	 3:0.708243886262	 
0.0 1:2.49833992072	 2:-1.44018338221	 3:0.533201117855	 
0.0 1:2.4795227876	 2:-1.4520929394	 3:0.352683214092	 
0.0 1:2.46041217404	 2:-1.45652900528	 3:0.166427353592	 
0.0 1:2.4407383488	 2:-1.45975501154	 3:-0.0258292850246	 
0.0 1:2.42044371561	 2:-1.46582443722	 3:-0.223106470697	 
0.0 1:2.40107902537	 2:-1.46203552921	 3:-0.414999502641	 
0.0 1:2.38493206844	 2:-1.42800829933	 3:-0.586784832467	 
0.0 1:2.37423828594	 2:-1.34386644333	 3:-0.724061565116	 
0.0 1:2.36950109581	 2:-1.20649267728	 3:-0.823068155312	 
0.0 1:2.36920537825	 2:-1.03230104656	 3:-0.89244238899	 
0.0 1:2.37172210239	 2:-0.838807797625	 3:-0.941521776925	 
0.0 1:2.37542223737	 2:-0.643529176946	 3:-0.979643829899	 
0.0 1:2.3790290178	 2:-0.459944056924	 3:-1.01422214004	 
0.0 1:2.38283591179	 2:-0.28353459976	 3:-1.04409437708	 
0.0 1:2.38757122256	 2:-0.104939377372	 3:-1.06566986479	 
0.0 1:2.39386715934	 2:0.0787588289245	 3:-1.07384408643	 
0.0 1:2.40223215596	 2:0.262177991901	 3:-1.0615631031	 
0.0 1:2.41316648167	 2:0.439388643692	 3:-1.02164438674	 
0.0 1:3.14818360677	 2:0.656900802307	 3:-0.953660854586	 
0.0 1:3.13747017543	 2:0.763985500673	 3:-0.82386955256	 
0.0 1:3.12694204836	 2:0.884947463853	 3:-0.690131918033	 
0.0 1:3.11620104503	 2:1.01317438544	 3:-0.551793282419	 
0.0 1:3.10484898496	 2:1.14205395901	 3:-0.408198977125	 
0.0 1:3.09248768762	 2:1.26497387818	 3:-0.258694333567	 
0.0 1:3.07871897251	 2:1.37532183653	 3:-0.102624683154	 
0.0 1:3.06314465912	 2:1.46648552764	 3:0.0606646427032	 
0.0 1:3.04536656695	 2:1.53185264511	 3:0.231828312591	 
0.0 1:3.02498651548	 2:1.56481088254	 3:0.411520995099	 
0.0 1:3.0018542328	 2:1.55976578668	 3:0.598769967232	 
0.0 1:2.97717649194	 2:1.51669460551	 3:0.783694207629	 
0.0 1:2.95262204365	 2:1.43747135662	 3:0.953380050377	 
0.0 1:2.9298528862	 2:1.32399275774	 3:1.09497800337	 
0.0 1:2.90977436295	 2:1.18039315117	 3:1.20270917739	 
0.0 1:2.89187666858	 2:1.0149918403	 3:1.28401861647	 
0.0 1:2.87549474808	 2:0.836567242103	 3:1.34780210391	 
0.0 1:2.85996354642	 2:0.653897773554	 3:1.40295542301	 
0.0 1:2.8446931416	 2:0.474772396916	 3:1.45737026894	 
0.0 1:2.8296440412	 2:0.299731262877	 3:1.51158231997	 
0.0 1:2.81502157163	 2:0.126090411392	 3:1.56285546107	 
0.0 1:2.8010321743	 2:-0.0488488011065	 3:1.60843867653	 
0.0 1:2.78788229062	 2:-0.227785018179	 3:1.64558095062	 
