0.0 1:1.44606859662	 2:1.37935693215	 3:1.18844568049	 
0.0 1:1.43723906997	 2:1.25883636812	 3:1.32899108096	 
0.0 1:1.42840954333	 2:1.13831580409	 3:1.46953648144	 
0.0 1:1.42030721927	 2:1.01016387368	 3:1.59576784161	 
0.0 1:1.4175370547	 2:0.826055510852	 3:1.61704255464	 
0.0 1:1.41476689014	 2:0.641947148025	 3:1.63831726767	 
0.0 1:1.41199672557	 2:0.457838785198	 3:1.65959198069	 
0.0 1:1.409226561	 2:0.273730422371	 3:1.68086669372	 
0.0 1:1.40912717515	 2:0.0916907079704	 3:1.65426509709	 
0.0 1:1.40961916617	 2:-0.0898909561861	 3:1.61706249401	 
0.0 1:1.41011115719	 2:-0.271472620343	 3:1.57985989093	 
0.0 1:1.4120668578	 2:-0.437815541841	 3:1.51861901952	 
0.0 1:1.41930636553	 2:-0.549148523303	 3:1.37060302966	 
0.0 1:1.42654587325	 2:-0.660481504765	 3:1.22258703979	 
0.0 1:1.43378538098	 2:-0.771814486227	 3:1.07457104992	 
0.0 1:1.44161597907	 2:-0.870362862789	 3:0.91788196335	 
0.0 1:1.44952473823	 2:-0.967220705248	 3:0.760046015696	 
0.0 1:1.45743349739	 2:-1.06407854771	 3:0.602210068042	 
0.0 1:1.46534225656	 2:-1.16093639017	 3:0.444374120388	 
0.0 1:1.47418233919	 2:-1.22272500911	 3:0.27520099326	 
0.0 1:1.48428358818	 2:-1.23702408625	 3:0.0906754458388	 
0.0 1:1.49450042289	 2:-1.23678484805	 3:-0.0936683155443	 
0.0 1:1.50461139793	 2:-1.20611574987	 3:-0.271355093586	 
0.0 1:1.51274230702	 2:-1.07291902931	 3:-0.39731541783	 
0.0 1:2.16320715085	 2:-0.898128277287	 3:-0.359823473015	 
0.0 1:2.14284881831	 2:-0.713523923804	 3:-0.409967815639	 
0.0 1:2.12249048577	 2:-0.528919570322	 3:-0.460112158263	 
0.0 1:2.10248071013	 2:-0.344991602399	 3:-0.51265090964	 
0.0 1:2.08343591131	 2:-0.162936202165	 3:-0.571818561352	 
0.0 1:2.06614047175	 2:0.013332113103	 3:-0.63987075049	 
0.0 1:2.06409789855	 2:0.139142163036	 3:-0.78538825238	 
0.0 1:2.06205532535	 2:0.264952212969	 3:-0.93090575427	 
0.0 1:2.05841484658	 2:0.397451528831	 3:-1.07014531016	 
0.0 1:2.05383992874	 2:0.533862659921	 3:-1.20571358656	 
0.0 1:2.04995221538	 2:0.667413046265	 3:-1.34400284755	 
0.0 1:2.04747419911	 2:0.795095043165	 3:-1.48787380094	 
0.0 1:2.03575279805	 2:0.952699884025	 3:-1.58394188646	 
0.0 1:2.01187593019	 2:1.11220954156	 3:-1.56811546218	 
0.0 1:1.97990297238	 2:1.22617988215	 3:-1.41647056262	 
0.0 1:1.94793001457	 2:1.34015022273	 3:-1.26482566306	 
0.0 1:1.92344553089	 2:1.37302337736	 3:-1.07746001689	 
0.0 1:1.89917093095	 2:1.40362357484	 3:-0.889093204962	 
0.0 1:1.874896331	 2:1.43422377233	 3:-0.70072639303	 
0.0 1:1.85062173106	 2:1.46482396981	 3:-0.512359581099	 
0.0 1:1.82634713112	 2:1.4954241673	 3:-0.323992769168	 
0.0 1:1.80643506395	 2:1.49248122528	 3:-0.132757171495	 
0.0 1:1.78664216343	 2:1.48862202123	 3:0.0585567897267	 
0.0 1:1.7668492629	 2:1.48476281717	 3:0.249870750949	 
0.0 1:1.74705636237	 2:1.48090361311	 3:0.441184712171	 
0.0 1:1.73846050019	 2:1.40735770804	 3:0.618378867411	 
0.0 1:1.73013916533	 2:1.33210323473	 3:0.795226835336	 
0.0 1:1.72181783048	 2:1.25684876142	 3:0.972074803261	 
0.0 1:1.73762564752	 2:1.08653933244	 3:1.04632350127	 
0.0 1:1.75611612721	 2:0.905661758285	 3:1.10916528239	 
0.0 1:1.77460660691	 2:0.724784184131	 3:1.17200706351	 
0.0 1:1.7930970866	 2:0.543906609977	 3:1.23484884463	 
0.0 1:1.81482323847	 2:0.357153304067	 3:1.27493525287	 
0.0 1:1.83684801151	 2:0.169857725082	 3:1.31292156081	 
0.0 1:1.85216303884	 2:-0.0022557579653	 3:1.39416992182	 
0.0 1:1.86576310992	 2:-0.170488821194	 3:1.48647571053	 
0.0 1:1.88408614441	 2:-0.346794343502	 3:1.54490646214	 
0.0 1:1.91072381167	 2:-0.537311183342	 3:1.54370124607	 
0.0 1:1.93736147893	 2:-0.727828023183	 3:1.54249603001	 
0.0 1:1.96754998864	 2:-0.899117881415	 3:1.48269936572	 
0.0 1:2.00069856881	 2:-1.05437965024	 3:1.37405941497	 
0.0 1:2.028777535	 2:-1.13792684283	 3:1.21922193581	 
0.0 1:2.05320194013	 2:-1.16977674701	 3:1.03108178549	 
0.0 1:2.07762634527	 2:-1.20162665119	 3:0.842941635167	 
0.0 1:2.10168902999	 2:-1.23068461606	 3:0.654549605205	 
0.0 1:2.12155239758	 2:-1.22733014891	 3:0.463233431546	 
0.0 1:2.14141576517	 2:-1.22397568177	 3:0.271917257886	 
0.0 1:2.16036102158	 2:-1.21428257056	 3:0.0809409551836	 
0.0 1:2.17610859919	 2:-1.18464701277	 3:-0.106056847805	 
0.0 1:2.17266048387	 2:-1.0528676413	 3:-0.246163920716	 
0.0 1:2.42476987498	 2:0.0175263618196	 3:-0.970692090839	 
